 &plot nbnd=  49, nks=   401 /
  -22.965  -22.787  -22.506  -22.122  -21.638  -21.060  -20.393  -19.648  -18.853  -18.112
  -16.381  -15.487  -14.420  -13.281  -12.113  -11.056  -10.952  -10.852  -10.527  -10.087
   -9.993   -9.838   -9.817   -9.544   -9.539   -9.187   -8.894   -8.812   -8.751   -8.266
   -8.173   -7.944   -7.755   -7.408   -7.347   -7.199   -6.959   -6.776   -6.729   -6.668
   -6.091   -1.628   -0.944   -0.242   -0.170   -0.093   -0.044    0.065    0.323
            0.000000  0.000000  0.027500
  -22.962  -22.785  -22.503  -22.120  -21.636  -21.058  -20.391  -19.646  -18.851  -18.110
  -16.379  -15.485  -14.418  -13.280  -12.112  -11.053  -10.952  -10.849  -10.524  -10.084
  -10.003   -9.840   -9.827   -9.554   -9.536   -9.197   -8.892   -8.815   -8.760   -8.275
   -8.170   -7.952   -7.759   -7.405   -7.360   -7.199   -6.970   -6.779   -6.738   -6.665
   -6.088   -1.629   -0.945   -0.239   -0.167   -0.090   -0.044    0.068    0.327
            0.000000  0.000000  0.030000
  -22.960  -22.782  -22.501  -22.117  -21.633  -21.055  -20.388  -19.644  -18.848  -18.108
  -16.377  -15.483  -14.417  -13.278  -12.111  -11.050  -10.952  -10.846  -10.521  -10.081
  -10.014   -9.841   -9.839   -9.565   -9.533   -9.208   -8.889   -8.818   -8.771   -8.284
   -8.167   -7.961   -7.763   -7.402   -7.373   -7.200   -6.981   -6.783   -6.748   -6.662
   -6.085   -1.630   -0.945   -0.236   -0.164   -0.087   -0.044    0.071    0.330
            0.000000  0.000000  0.032500
  -22.957  -22.780  -22.498  -22.114  -21.631  -21.052  -20.386  -19.641  -18.846  -18.105
  -16.375  -15.481  -14.415  -13.277  -12.111  -11.047  -10.952  -10.842  -10.518  -10.078
  -10.026   -9.851   -9.842   -9.576   -9.530   -9.220   -8.886   -8.821   -8.782   -8.293
   -8.164   -7.970   -7.768   -7.399   -7.387   -7.201   -6.993   -6.787   -6.759   -6.659
   -6.082   -1.631   -0.946   -0.232   -0.160   -0.084   -0.044    0.075    0.334
            0.000000  0.000000  0.035000
  -22.954  -22.777  -22.495  -22.111  -21.628  -21.050  -20.383  -19.638  -18.843  -18.102
  -16.372  -15.479  -14.413  -13.275  -12.110  -11.043  -10.952  -10.839  -10.514  -10.075
  -10.040   -9.864   -9.844   -9.589   -9.526   -9.233   -8.882   -8.825   -8.794   -8.304
   -8.161   -7.981   -7.773   -7.402   -7.396   -7.203   -7.006   -6.792   -6.771   -6.656
   -6.078   -1.631   -0.947   -0.228   -0.156   -0.080   -0.044    0.079    0.338
            0.000000  0.000000  0.037500
  -22.951  -22.773  -22.492  -22.108  -21.625  -21.046  -20.380  -19.635  -18.840  -18.100
  -16.370  -15.476  -14.411  -13.274  -12.109  -11.040  -10.952  -10.835  -10.511  -10.071
  -10.054   -9.878   -9.846   -9.602   -9.523   -9.246   -8.879   -8.829   -8.807   -8.315
   -8.157   -7.992   -7.778   -7.418   -7.392   -7.205   -7.020   -6.797   -6.784   -6.652
   -6.075   -1.632   -0.947   -0.224   -0.152   -0.076   -0.044    0.083    0.342
            0.000000  0.000000  0.040000
  -22.947  -22.770  -22.489  -22.105  -21.621  -21.043  -20.377  -19.632  -18.837  -18.097
  -16.367  -15.474  -14.408  -13.272  -12.107  -11.035  -10.952  -10.831  -10.507  -10.069
  -10.067   -9.893   -9.848   -9.617   -9.519   -9.261   -8.875   -8.833   -8.820   -8.326
   -8.153   -8.004   -7.783   -7.434   -7.388   -7.208   -7.035   -6.802   -6.797   -6.648
   -6.070   -1.633   -0.948   -0.219   -0.148   -0.072   -0.045    0.087    0.347
            0.000000  0.000000  0.042500
  -22.944  -22.766  -22.485  -22.101  -21.618  -21.040  -20.373  -19.629  -18.834  -18.093
  -16.364  -15.471  -14.406  -13.270  -12.106  -11.031  -10.952  -10.827  -10.502  -10.085
  -10.063   -9.909   -9.850   -9.632   -9.515   -9.276   -8.870   -8.838   -8.835   -8.338
   -8.149   -8.017   -7.788   -7.451   -7.384   -7.211   -7.050   -6.812   -6.808   -6.644
   -6.066   -1.635   -0.949   -0.214   -0.143   -0.067   -0.045    0.092    0.352
            0.000000  0.000000  0.045000
  -22.940  -22.763  -22.481  -22.097  -21.614  -21.036  -20.369  -19.625  -18.830  -18.090
