 &plot nbnd=  13, nks=   401 /
  -20.276  -17.795  -14.873  -12.855  -12.412  -10.116   -9.354   -8.021   -5.449   -1.912
    1.345    1.490    1.891
            0.000000  0.000000  0.327500
  -20.248  -17.769  -14.907  -12.849  -12.457  -10.111   -9.378   -7.990   -5.417   -1.946
    1.300    1.516    1.922
            0.000000  0.000000  0.330000
  -20.220  -17.742  -14.941  -12.841  -12.502  -10.105   -9.402   -7.959   -5.385   -1.980
    1.254    1.542    1.954
            0.000000  0.000000  0.332500
  -20.192  -17.715  -14.977  -12.833  -12.548  -10.099   -9.426   -7.928   -5.353   -2.015
    1.209    1.568    1.985
            0.000000  0.000000  0.335000
  -20.164  -17.688  -15.013  -12.823  -12.593  -10.093   -9.451   -7.896   -5.321   -2.050
    1.162    1.595    2.016
            0.000000  0.000000  0.337500
  -20.136  -17.661  -15.050  -12.812  -12.639  -10.086   -9.476   -7.865   -5.289   -2.085
    1.116    1.622    2.048
            0.000000  0.000000  0.340000
  -20.107  -17.634  -15.087  -12.801  -12.684  -10.080   -9.500   -7.833   -5.256   -2.121
    1.070    1.649    2.079
            0.000000  0.000000  0.342500
  -20.079  -17.606  -15.125  -12.789  -12.730  -10.074   -9.525   -7.801   -5.223   -2.156
    1.023    1.676    2.110
            0.000000  0.000000  0.345000
  -20.050  -17.579  -15.164  -12.777  -12.775  -10.068   -9.551   -7.769   -5.190   -2.192
    0.976    1.704    2.142
            0.000000  0.000000  0.347500
  -20.021  -17.551  -15.203  -12.821  -12.762  -10.061   -9.576   -7.737   -5.157   -2.229
    0.929    1.731    2.173
            0.000000  0.000000  0.350000
  -19.992  -17.523  -15.242  -12.867  -12.748  -10.055   -9.601   -7.705   -5.124   -2.265
    0.882    1.759    2.204
            0.000000  0.000000  0.352500
  -19.962  -17.494  -15.282  -12.912  -12.732  -10.049   -9.627   -7.673   -5.091   -2.302
    0.835    1.787    2.235
            0.000000  0.000000  0.355000
  -19.933  -17.466  -15.322  -12.958  -12.717  -10.043   -9.653   -7.640   -5.057   -2.339
    0.788    1.816    2.266
            0.000000  0.000000  0.357500
  -19.903  -17.437  -15.363  -13.003  -12.700  -10.036   -9.678   -7.608   -5.024   -2.376
    0.741    1.844    2.297
            0.000000  0.000000  0.360000
  -19.873  -17.408  -15.404  -13.048  -12.683  -10.030   -9.705   -7.575   -4.990   -2.413
    0.694    1.873    2.327
            0.000000  0.000000  0.362500
  -19.843  -17.379  -15.445  -13.094  -12.666  -10.024   -9.731   -7.542   -4.956   -2.451
    0.647    1.902    2.358
            0.000000  0.000000  0.365000
  -19.812  -17.350  -15.487  -13.139  -12.648  -10.017   -9.757   -7.509   -4.922   -2.489
    0.599    1.931    2.388
            0.000000  0.000000  0.367500
  -19.782  -17.321  -15.528  -13.184  -12.630  -10.011   -9.783   -7.476   -4.888   -2.526
    0.552    1.961    2.418
            0.000000  0.000000  0.370000
  -19.751  -17.291  -15.570  -13.230  -12.611  -10.005   -9.810   -7.443   -4.854   -2.564
    0.505    1.991    2.448
